,authors,bbox,connectsWith,created,creators,currentVersion,description,extent,featureTypes,geoContext,hasConnectionsWith,id,locationPrecision,maxDate,minDate,modified,path,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,uid,country
165,"Spann, P., R. Warner, R. Talbert, S. Gillies, T. Elliott, J. Becker","-5.0, 39.0, -4.0, 40.0",,2010-09-24T19:07:51Z,P.O. Spann,2.0,"An ancient place, cited: BAtlas 27 A2 unnamed aqueduct (Toletum)","{""type"": ""Polygon"", ""coordinates"": [[[-5.0, 39.0], [-5.0, 40.0], [-4.0, 40.0], [-4.0, 39.0], [-5.0, 39.0]]]}",aqueduct,Toletum,,266517,rough,640.0,-30.0,2020-08-03T14:41:41Z,/places/266517,39.5,"39.5,-4.5",-4.5,,RL,"roman,late-antique","-30.0,640.0",Untitled,3dff206afe3f979098c21f0ba7159466,Spain
166,"Spann, P., R. Warner, R. Talbert, S. Gillies, T. Elliott","-4.0, 39.0, -3.0, 40.0",265876,2010-09-24T19:07:53Z,P.O. Spann,1.0,"An ancient place, cited: BAtlas 27 B2 unnamed aqueduct (N Consabura)","{""type"": ""Polygon"", ""coordinates"": [[[-4.0, 39.0], [-4.0, 40.0], [-3.0, 40.0], [-3.0, 39.0], [-4.0, 39.0]]]}",aqueduct,N Consabura,,266518,rough,640.0,-30.0,2012-02-14T22:53:29Z,/places/266518,39.5,"39.5,-3.5",-3.5,,RL,"roman,late-antique","-30.0,640.0",Untitled,9b9ce1e801f07fa80688451c9e578434,Spain
167,"Spann, P., R. Warner, R. Talbert, S. Gillies, T. Elliott, J. Becker","-4.0, 37.0, -3.0, 38.0",,2010-09-24T19:07:54Z,P.O. Spann,2.0,"An ancient place, cited: BAtlas 27 B4 unnamed aqueduct (NW Iliberri)","{""type"": ""Polygon"", ""coordinates"": [[[-4.0, 37.0], [-4.0, 38.0], [-3.0, 38.0], [-3.0, 37.0], [-4.0, 37.0]]]}",aqueduct,NW Iliberri,,266519,rough,640.0,-30.0,2020-08-03T14:40:32Z,/places/266519,37.5,"37.5,-3.5",-3.5,,RL,"roman,late-antique","-30.0,640.0",Untitled,54d2fb967ce79cd6ab4a1a4fb3934934,Spain
168,"Spann, P., R. Warner, R. Talbert, S. Gillies, T. Elliott, J. Becker","-3.689824, 36.762144, -3.689824, 36.762144",266038,2010-09-24T19:07:56Z,P.O. Spann,3.0,"One of five Roman-era aqueducts known from Sexi (modern Almuñécar, Spain). This one is represented by an extant aqueduct bridge located near the source of the Rio Verde, north of Sexi.","{""type"": ""Point"", ""coordinates"": [-3.689824, 36.762144]}",aqueduct,"Torrecuevas, N Sexi",,266520,precise,640.0,-30.0,2018-06-05T21:57:51Z,/places/266520,36.762144,"36.762144,-3.689824",-3.6898239999999998,,RL,"roman,late-antique","-30.0,640.0",Torrecuevas aqueduct,88d5f7ab88c225e9fe0e1b487988de64,Spain
169,"Spann, P., R. Warner, R. Talbert, S. Gillies, T. Elliott, J. Becker","-2.8141956, 39.885321, -2.8104137, 39.8910763",266036,2010-09-24T19:07:57Z,P.O. Spann,2.0,"An ancient place, cited: BAtlas 27 C2 unnamed aqueduct (Segobriga)","{""type"": ""Polygon"", ""coordinates"": [[[-2.81302, 39.885321], [-2.8131549, 39.8854002], [-2.8139756, 39.8859849], [-2.8141956, 39.8891334], [-2.8104137, 39.8910763], [-2.8124575, 39.8861082], [-2.81302, 39.885321]]]}",aqueduct,Segobriga,266036,266521,related,640.0,-30.0,2013-11-12T05:29:23Z,/places/266521,39.8882167139,"39.8882167139,-2.81267426411",-2.81267426411,,RL,"roman,late-antique","-30.0,640.0",Untitled,a622195939cfc40357bf54546b19f9a8,Spain
170,"Spann, P., R. Warner, R. Talbert, S. Gillies, T. Elliott","-3.0, 36.0, -2.0, 37.0",266039,2010-09-24T19:07:58Z,P.O. Spann,1.0,"An ancient place, cited: BAtlas 27 C5 unnamed aqueduct (Rambla de Carcanz, N Sierra de Gador)","{""type"": ""Polygon"", ""coordinates"": [[[-3.0, 36.0], [-3.0, 37.0], [-2.0, 37.0], [-2.0, 36.0], [-3.0, 36.0]]]}",aqueduct,"Rambla de Carcanz, N Sierra de Gador",,266522,rough,640.0,-30.0,2012-02-14T22:53:31Z,/places/266522,36.5,"36.5,-2.5",-2.5,,RL,"roman,late-antique","-30.0,640.0",Untitled,97c787abd99997d4537b1548f119567f,Spain
171,"Spann, P., R. Warner, R. Talbert, S. Gillies, T. Elliott, J. Becker","-2.0, 39.0, -1.0, 40.0",,2010-09-24T19:07:59Z,P.O. Spann,2.0,"An ancient place, cited: BAtlas 27 D2 unnamed aqueduct (Peña Cortada, E Barranca de S. Filomena)","{""type"": ""Polygon"", ""coordinates"": [[[-2.0, 39.0], [-2.0, 40.0], [-1.0, 40.0], [-1.0, 39.0], [-2.0, 39.0]]]}",aqueduct,"Peña Cortada, E Barranca de S. Filomena",,266523,rough,640.0,-30.0,2019-04-29T21:19:22Z,/places/266523,39.5,"39.5,-1.5",-1.5,,RL,"roman,late-antique","-30.0,640.0",Untitled,e284aaf9388577b5e2740e4c8c56aa62,Spain
172,"Spann, P., R. Warner, R. Talbert, T. Elliott, S. Gillies","-1.0, 39.0, 0.0, 40.0",,2010-09-24T19:08:01Z,P.O. Spann,1.0,"An ancient place, cited: BAtlas 27 E2 unnamed aqueduct (3 miles S Villareal, over R. Sec)","{""type"": ""Polygon"", ""coordinates"": [[[-1.0, 39.0], [-1.0, 40.0], [0.0, 40.0], [0.0, 39.0], [-1.0, 39.0]]]}",aqueduct,"3 miles S Villareal, over R. Sec",,266524,rough,640.0,-330.0,2012-02-14T22:53:31Z,/places/266524,39.5,"39.5,-0.5",-0.5,,HRL,"hellenistic-republican,roman,late-antique","-330.0,640.0",Untitled,bfa76171a4962f8e6a395c4c40ea2cf6,Spain
173,"Spann, P., R. Warner, R. Talbert, S. Gillies, T. Elliott, J. Becker","-1.0, 38.0, 0.0, 39.0",,2010-09-24T19:08:03Z,P.O. Spann,2.0,"An ancient place, cited: BAtlas 27 E3 unnamed aqueduct (SW Calpe)","{""type"": ""Polygon"", ""coordinates"": [[[-1.0, 38.0], [-1.0, 39.0], [0.0, 39.0], [0.0, 38.0], [-1.0, 38.0]]]}",aqueduct,SW Calpe,,266525,rough,640.0,-30.0,2020-09-25T15:31:01Z,/places/266525,38.5,"38.5,-0.5",-0.5,,RL,"roman,late-antique","-30.0,640.0",Untitled,b1dbe16853687b02bd3e6340eda1bb04,Spain
174,"Spann, P., R. Warner, R. Talbert, T. Elliott, S. Gillies","1.0, 38.0, 2.0, 39.0",,2010-09-24T19:08:04Z,P.O. Spann,1.0,"An ancient place, cited: BAtlas 27 G3 unnamed aqueduct (Ebusus)","{""type"": ""Polygon"", ""coordinates"": [[[1.0, 38.0], [1.0, 39.0], [2.0, 39.0], [2.0, 38.0], [1.0, 38.0]]]}",aqueduct,Ebusus,,266526,rough,640.0,-30.0,2012-02-14T22:53:32Z,/places/266526,38.5,"38.5,1.5",1.5,,RL,"roman,late-antique","-30.0,640.0",Untitled,2720f5efbfaa62457b5461274adb31ea,Spain
